shot_id,start,end,narration,purpose,subject,action,shot_size,camera,environment,continuity,claim_ids,needs_host,needs_animation
S01,0:00,0:05,"Почему кино, начавшее расти на востоке США, обрело главный дом на западе? Дело было не только в солнце.","Поставить вопрос и сломать ожидание","Мальтипу-детектив и карта США","Детектив проводит красной нитью от востока к западу","medium","медленный наезд","архивный кабинет, карта на доске","фронт 3/4; указательная лапа; сохранить левую белую отметину и разные глаза","",yes,yes
S02,0:05,0:10,"В 1908 году Edison и Biograph создали Motion Picture Patents Company — MPPC.","Ввести источник давления","папки Edison и Biograph","Две папки сходятся в одну запечатанную папку","close-up","статичная камера","стол архива, тёплая лампа","без ведущего; без читаемого текста на документе","C01",no,yes
S03,0:10,0:15,"Эта система, известная как Trust, связывала лицензиями оборудование, прокат и кинопоказ, пытаясь контролировать рынок.","Объяснить механизм","символическая сеть лицензий","Красные нити соединяют камеру, плёнку и экран","top-down","лёгкий push-in","тёмная доказательная доска","без ведущего; объекты не содержат логотипов или текста","C02",no,yes
S04,0:15,0:20,"Для независимых это означало давление: они искали другие источники плёнки и проекционной техники.","Показать ответ независимых","Мальтипу-детектив и коробка плёнки","Детектив открывает нейтральную коробку с киноплёнкой","medium close-up","статичная камера","архивный стол","правый 3/4; одна лапа на коробке; костюм и шляпа неизменны","C03",yes,yes
S05,0:20,0:26,"Но даже без патентной борьбы восточное побережье было неудобной киностудией.","Повернуть к производственной причине","ранняя площадка на востоке","Ветер гасит отражатель у наружной камеры","wide","медленный панорамный ход","холодная зимняя улица, 1910-е","без ведущего; историческая реконструкция без надписей","C04",no,yes
S06,0:26,0:32,"Раннему кино нужен был регулярный выпуск, а короткий зимний день, ненадёжное солнце и холод мешали натурным съёмкам.","Конкретизировать проблему","календарь и камера","Тень быстро накрывает площадку и съёмка останавливается","wide","lock-off","зимняя натурная площадка","без ведущего; одна первичная перемена — уход света","C04",no,yes
S07,0:32,0:38,"Южная Калифорния предлагала обратное: мягкую погоду и пляжи, пустыни, холмы и горы неподалёку друг от друга.","Контраст места","карта Южной Калифорнии","Маршрут соединяет четыре безымянные природные зоны","top-down","медленный push-in","стилизованная карта на пергаменте","без ведущего; без читаемых географических подписей","C05",no,yes
S08,0:38,0:43,"Здесь можно было снимать почти круглый год и за короткую дорогу менять целый мир фильма.","Сделать преимущество зрительным","ранняя кино-группа","Камера разворачивается от пляжной декорации к пустынному фону","wide","медленная панорама","солнечная натурная площадка","без ведущего; один основной переход фона","C05",no,yes
S09,0:43,0:49,"Патентное давление стало одним из стимулов развивать производство дальше от нью-йоркского центра — но не единственной причиной.","Сохранить историческую оговорку","Мальтипу-детектив, карта и три улики","Детектив кладёт рядом патентную папку, солнце-иконку и фото ландшафта","medium","медленный наезд","доска с уликами","левый 3/4; три улики, одна лапа; не изображать погоню","C06",yes,yes
S10,0:49,0:55,"Климат, ландшафты и этот деловой конфликт сработали вместе.","Собрать причинную цепь","три символические улики","Три нити сходятся к маркеру киностудии","close-up","статичная камера","доска с уликами","без ведущего; без текста и логотипов","C04;C05;C06",no,yes
S11,0:55,1:03,"К 1913 году почти все крупные компании, кроме Edison, уже имели базу в Южной Калифорнии.","Показать результат концентрации","карта Южной Калифорнии и студийные силуэты","Появляются несколько безымянных студийных маркеров","wide","медленный push-in","историческая карта","без ведущего; без названий компаний","C07",no,yes
S12,1:03,1:10,"Так Голливуд вырос не из одного удачного солнечного дня, а из комбинации света, пространства и борьбы за право снимать кино.","Дать ответ и образный финал","Мальтипу-детектив и доска дела","Детектив закрывает папку и смотрит на освещённую карту","medium","медленный отъезд","архивный кабинет на закате","фронт 3/4; спокойное удовлетворённое выражение; сохранить все инварианты","C04;C05;C06;C07",yes,yes
